,источник,дата,заголовок,текст
0,https://www.vedomosti.ru/ecology/articles/2021/09/01/884770-esg-perevode-russkii,02 сентября 2021,ESG в переводе на русский," Российский бизнес массово увлекся ESG-концепцией устойчивого развития бизнеса, которая в предыдущее десятилетие стала одним из ключевых трендов в развитых странах. Одобрение членами Евросоюза в декабре 2019 г. Европейской зеленой сделки (European Green Deal, EGD) уже привело к значительной перестройке всей европейской экономики. EGD требует снижения выбросов парниковых газов на территории ЕС до нуля к 2050 г.  Появлению и продвижению EGD в Европе способствовали скорее общественно-политические причины – рост зеленых настроений у массового избирателя. К 2019 г. на парламентских выборах в большинстве стран ЕС значительного успеха добились зеленые партии и активисты экологических организаций. Это вынудило правительства стран Евросоюза взять на себя обязательства по инвестициям 1–2% национального ВВП в зеленую экономику и добиться снижения углеродного следа промышленных отраслей к 2030 г. на 50% от уровня 1990 г. Более того, даже расходование бюджетной поддержки для борьбы с последствиями разразившейся в 2020 г. пандемии COVID-19 также было увязано Брюсселем с принципами устойчивого развития ее получателей.  Крупнейшие европейские инвестиционные институты и банки быстро осознали, что зеленая повестка станет на долгие годы основным драйвером не только бюджетных вливаний, но и экономики в целом. В результате этого высокий ESG-рейтинг стал своеобразным пропуском для реального бизнеса к главному источнику дешевых финансовых ресурсов на рынке. А это, в свою очередь, привело к тому, что соблюдение принципов ESG стало одним из важных обычаев деловой практики для самого широкого круга предпринимателей в ЕС.  Устойчивость на экспорт  Тренд на развитие ESG неизбежно затронул и основных зарубежных партнеров европейских компаний – прежде всего крупный российский бизнес, который, несмотря на многочисленные санкции и антисанкции, остается прочно связан с экономикой ЕС. Европа для отечественных предпринимателей – и крупнейший рынок сбыта экспортной продукции, и основной поставщик важнейших комплектующих и технологий для создания продукции с высокой добавленной стоимостью, и конечная точка транзитного моста для товаров из Азии. Приверженность крупнейших европейских инвестиционных институтов принципам ESG, а вслед за ними местных производственных и сервисных компаний – это то «внешнее давление», которое стало главной причиной моды на ESG-повестку в России. Это подтверждают и опрошенные «Ведомостями» аналитики ведущих консалтинговых и рейтинговых агентств.   Азии сложно переодеться в зеленое Цели достижения углеродной нейтральности своих экономик поставили перед собой не только страны Европы, но и крупнейшие государства Юго-Восточной Азии, где ключевую роль в энергобалансе продолжает играть уголь. Япония, занимающая 5-е место в мире по объемам выбросов CO2, присоединилась к обещаниям обнулить их к 2050 г. К 2030 г. четверть вырабатываемой в стране энергии должна приходиться на ВИЭ, примерно столько же будут выдавать АЭС, а на ископаемом топливе продолжит работать половина генерации Японии. Аналогичные заявления сделали и руководители Южной Кореи (седьмая по выбросам СО2 в мире), где 40% энергобаланса обеспечивается за счет угля.Китай остается крупнейшей страной мира по выбросам CO2. Но Пекин объявил, что к 2030 г. достигнет пикового значения выбросов, а затем начнет снижать их и достигнет нулевого порога к 2060 г. В марте Народный банк Китая сделал заявление о том, что развитие зеленого финансирования станет приоритетом в период 14-й пятилетки 2021–2025 гг. По информации китайского центробанка, объем зеленых кредитов в 2020 г. достиг 1,8 трлн юаней ($277 млрд), что является самым большим объемом зеленых инвестиций в мире. В стране выпущено более 40 выпусков «углеродно-нейтральных облигаций» на сумму свыше $10 млрд. До 2030 г. общий объем инвестиций в сокращение выбросов достигнет 2,2 трлн юаней, прогнозируют в Народном банке Китая.В Индии экономика потребляет все больше угля, а объемы роста добычи не успевают за ростом импорта топлива. Здесь гораздо меньше ESG-фондов, чем в сопредельных странах, отмечают международные аналитики, но климатическая повестка уже актуальна. В мае этого года Совет по ценным бумагам и биржам Индии (SEBI) разработал и опубликовал новые правила раскрытия информации, использующие принципы ESG, для тысячи крупнейших компаний по рыночной капитализации. Они вступят в силу в марте 2022 г. Это позволяет ожидать, что зеленые инвестиции в Индии очень скоро увеличатся, а количество институциональных ESG-инвесторов в ближайшие 2–3 года существенно вырастет.  «Требования к внедрению принципов ESG наряду с повышением социальной и экологической ответственности, которые являются нормой ведения бизнеса международных компаний, в силу экономических и торговых связей затронули и российских предпринимателей, – отмечает управляющий директор по проектам развития Национального рейтингового агентства (НРА) Виктор Четвериков. – Инвесторы все больше внимания уделяют оценке рисков в части устойчивого развития. Недооценка важности интеграции этих принципов может привести к сокращению финансирования и даже к выходу инвесторов из проектов».  Руководитель группы операционных рисков и устойчивого развития КПМГ в России и СНГ Игорь Коротецкий отмечает еще один «внешний фактор» для развития ESG-повестки в России – «тенденцию по развитию устойчивости цепочек поставок, что уже не является вопросом регулирования со стороны государств, а становится вопросом ожиданий со стороны покупателей продукции». «Нельзя отрицать влияние поколения зумеров и миллениалов, которые озабочены ESG-повесткой. Их сильно волнуют изменение климата, рациональное потребление ресурсов и охрана окружающей среды в целом», – добавляет управляющий директор по корпоративным и ESG-рейтингам кредитного рейтингового агентства «Эксперт РА» Павел Митрофанов.  Воспитание катастрофами  В бизнес-стратегиях крупнейших российских компаний все чаще упоминается экологическая тематика. Одним из стимулов являются техногенные аварии на производственных площадках, принадлежащих российским голубым фишкам. «C 2020 г. тема ESG стала популярной и за счет российской повестки, прежде всего из-за ряда экологических аварий на предприятиях, за которыми последовали заявления об ужесточении ответственности крупного бизнеса за свою деятельность с точки зрения экологии и общества», – отмечает заместитель группы оценки рисков устойчивого развития Аналитического кредитного рейтингового агентства (АКРА) Владимир Горчаков.  По его мнению, с этим во многом связан и нынешний акцент в ESG-стратегиях отечественных компаний на компонент E (environmental) – программы защиты экологии и охраны окружающей среды. «Социальной части (S – social) в отчетности компаний, как правило, уделяется меньше внимания, но здесь есть свои любимые темы – прежде всего социальная активность в регионах присутствия, – отмечает Горчаков. – А часть, связанная с корпоративным управлением (G – governance), всегда в тени, поскольку это, в принципе, стандартная практика публичных компаний, которая существовала и до активизации ESG-повестки».  Но «внимание к социальным аспектам и к устойчивому корпоративному управлению так же важно», предостерегает Четвериков. «Речь идет о системе, которая реализована во всех трех аспектах ESG, их реализация и практика находят очень много пересечений. Реализуя только один из аспектов, невозможно провести трансформацию бизнеса, так как она затронет и два других, – отмечает он. – Компаниям необходимо внедрять принципы ESG как комплекс и систему решений, а не разрозненно затыкать дыры».   Коротецкий добавляет, что, «если у компании есть проседание по управленческим и социальным аспектам, ее оценки и восприятие инвесторами также снижаются». «Поэтому все-таки внимание уделяется всем аспектам, а не только экологии и климату. Это видно по тем дорожным картам, которые компании разрабатывают», – поясняет он.  Почти треть крупнейших российских банков, по данным «Эксперт РА», уже ввели KPI на ESG-метрики в своих кредитных и инвестиционных процессах, а к концу 2021 г. доля таких банков достигнет 50%, что значительно ускорит процесс ESG-трансформации в России. «В краткосрочной перспективе каждый заемщик будет тестироваться на приверженность ESG-принципам и наличие соответствующих внутренних процедур. Одновременно с этим, согласно данным нашего опроса, управляющие компании из топ-15 также вводят ESG-оценки эмитентов в своих инвестиционных политиках. Некоторые из них уже запустили ESG-продукты в виде ПИФов, формируя и воспитывая таким образом класс ответственных инвесторов», – отмечает Митрофанов из «Эксперт РА».  ESG на производстве и в быту  По мнению аналитиков, кроме банков, имеющих доступ к фондированию за рубежом, и компаний нефинансового сектора, акции или облигации которых торгуются на международных биржах, первопроходцами в теме ESG стали экспортеры. Это предприятия лесной отрасли, химии и металлургии, а также другие компании традиционно экологически грязных отраслей промышленности. «Следующими будут остальные отрасли, особенно транспортная и сфера ЖКХ, так как там бизнес-модели компаний пронизаны экологическими, социальными и этическими аспектами», – отмечает Четвериков из НРА. По его мнению, «потребительский сектор работает над трансформацией бизнеса уже не первый год и добился успехов, находясь на стыке ответственного производства и ответственного потребления, формируя отдельную экосреду». «Эти отрасли тоже могут оказывать прямое и косвенное влияние на партнеров и клиентов и формировать ответственные принципы поведения в бизнесе и в быту», – полагает аналитик.   2119  млн т CO2-эквивалента составляли выбросы парниковых газов России в 2019 г.  В июле 2021 г. Еврокомиссия (ЕК) опубликовала проект трансграничного углеродного регулирования (ТУР), согласно которому продукция, произведенная в ЕС с учетом программы сокращения выбросов углекислого газа, приравнивается к продукции других стран, где она выпускается по технологиям с высоким углеродным следом. ЕК предложила взимать специальные денежные сборы для такой импортной продукции, вводя их постепенно с 2023 по 2026 г. Решимость европейских властей подтверждается официальным признанием таких возможных последствий, как сокращение или даже прекращение импорта отдельных категорий товаров в страны ЕС.  Для России, по расчетам The Boston Consulting Group (BCG), выплаты углеродного налога к 2026 г. могут составить $1,8–3,4 млрд, а к 2030 г. – $3,5–6,4 млрд. Если же в механизм регулирования будут включены и поставки продуктов нефтепереработки и нефтехимии (это еще не сделано, но очень вероятно ближе к моменту введения экологических сборов в действие), то максимальная сумма выплат российских экспортеров в 2026 г. может достичь $2,9–6,4 млрд (в 2030 г. – $5,5–11,7 млрд). Из уже включенных в ТУР отраслей, значимых для России, наибольшая доля сборов придется на сталелитейную промышленность – около 55% от всей суммы экологических пошлин». А наибольшую «удельную» плату за углеродный след придется заплатить российским производителям удобрений и энергетикам – 20–40% от экспортной цены их продукции, подсчитали аналитики BCG.  С углеводородами трудно завязать  «Экспортеры первыми почувствовали практическое влияние климатической повестки на свою деятельность, но при этом все отрасли с высоким углеродным следом находятся под риском. Это относится как к нефтегазовым компаниям, добыче угля и энергетике, так и ко всем смежным отраслям, включая производителей оборудования, автомобилей и т. д.», – отмечает главный экономист компании Vygon Consulting Сергей Ежов. Поэтому снижение выбросов парниковых газов и увеличение доли зеленой энергетики для всех таких компаний, по словам эксперта, «становится необходимостью для адаптации к новым условиям».  Он напоминает, что введение в действие ТУР в 2026 г. затронет только черную металлургию, электроэнергетику, а также производителей алюминия и удобрений – и лишь в части их экспорта в страны ЕС. И только после 2030 г. возможно расширение перечня подлежащих регулированию отраслей, в частности, на переработку нефти, нефтехимию и другие отрасли, включенные в европейскую торговлю углеродными квотами. «Но ведь и европейские производители должны платить за выбросы, как и прочие экспортеры, поэтому введение ТУР не будет критическим для большинства российских экспортеров», – полагает Ежов.  В то же время он обращает внимание на то, что «компании имеют ограниченные возможности по развитию климатических бизнес-практик, если они не окупаются». «Конечно, компании могут реализовывать отдельные климатические проекты в убыток, но устойчивое развитие требует создания регуляторами условий для зеленых инвестиций», – констатирует Ежов. Некоторые механизмы в России уже действуют – например, система договоров поставки мощности новых возобновляемых источников Минэнерго России, «а вот для реализации проектов по улавливанию и захоронению СО2 в России сейчас отсутствуют регуляторные условия и нет экономических стимулов», отмечает аналитик. «Между тем Россия обладает высоким потенциалом для реализации таких проектов, потенциальная емкость хранилищ в недрах составляет 1,2 трлн т СО2, поэтому у нас должны быть созданы условия для реализации этого потенциала», – считает Ежов.  Регулирование догонит быстро  Основными документами, регулирующими ESG-практики, наряду со стандартами устойчивого развития ООН, международными принципами зеленых облигаций ICMA и зеленых кредитов LMA существуют и российские. Это методологические рекомендации ВЭБ.РФ, а также проекты «таксономии зеленых и плантационных проектов Минэкономразвития России, которые похожи на таксономию EGD», и специальные документы Банка России, посвященные ESG-трансформации, напоминает Митрофанов из «Эксперт РА». В проекте «Основных направлений развития финансового рынка РФ на 2022 г. и период 2023 и 2024 гг.» одним из стратегических направлений для ЦБ является расширение вклада финансового рынка в достижение целей устойчивого развития, а совместные меры с правительством России будут направлены в первую очередь на создание необходимой инфраструктуры и зеленых финансовых инструментов. «Мы ожидаем, что утверждение всех разрабатываемых документов, а также запуск мер господдержки позволят в полной мере сформировать национальную инфраструктуру и нормативную базу для ответственного финансирования», – надеется Митрофанов.  «С точки зрения нормативного регулирования в России, безусловно, наблюдается некое догоняющее развитие», – отмечает Коротецкий из КПМГ, добавляя при этом, что единого европейского законодательства, требующего соответствовать некоему конкретному уровню ESG, не существует, а есть только требования по раскрытию отдельных его показателей. «Вопрос в том, нужно ли двигаться исключительно через регулирование или также и через рыночные аспекты, – рассуждает он. – Но в основном стандарты устанавливаются инвесторами и инвестиционным сообществом, именно они требуют от компаний соответствия конкретным практикам в области ESG». А наднациональные документы по устойчивому развитию ООН, ОЭСР и IFC – «это лучшие практики и рекомендации, а не регулирование», подчеркивает Коротецкий.  «Я бы не сказал, что мы сильно отстаем, с учетом того что Россия всерьез стала обсуждать эту тему в последние два года», – считает Горчаков из АКРА. Он напоминает, что в стране уже есть регулирование рынка зеленых и социальных облигаций в рамках положения Банка России «О стандартах эмиссии ценных бумаг» № 706-П и правил листинга Московской биржи, где уже прошли первые размещения зеленых облигаций российских эмитентов. Сама биржа даже официально выпустила «Руководство для эмитента: как соответствовать лучшим практикам устойчивого развития», отмечает Горчаков.  Но, например, по мнению Четверикова из НРА, в сфере ESG-трансформации «мы явно отстаем в практическом, а не в теоретическом плане». «Придется аврально наверстывать регуляцию, стандарты, экспертизу и накапливать опыт на жизненном цикле проектов», – прогнозирует он развитие концепции ESG в России. Пока наиболее продвинутыми в реализации стратегий и интеграции принципов ESG являются крупные публичные экономические игроки, «чего не скажешь о среднем и малом бизнесе». «Но и этим компаниям придется выстраивать устойчивый бизнес после появления требования со стороны инвесторов, финансирующих организаций и партнеров в лице крупных компаний в цепочках поставок», – ожидает аналитик. "
1,https://www.vedomosti.ru/ecology/articles/2021/09/01/884775-promishlennost-uglerodnii,02 сентября 2021,Промышленность сокращает углеродный след," Трубная металлургическая компания (ТМК) в августе заявила о том, что реализует климатическую программу, которая предполагает уже в 2023 г. сокращение выбросов парниковых газов на 8% по сравнению с уровнем 2020 г. Инвестиции в размере 2,9 млрд руб. будут направлены на модернизацию производственного оборудования на всех ключевых заводах компании в России, автоматизацию всех этапов выпуска готовой продукции, а также оптимизацию работы существующих систем снабжения производства ресурсами и электроэнергией.   Ключевые направления климатической программы ТМК – дальнейшая модернизация основного и вспомогательного производственного оборудования на российских заводах компании: на каждом из них реализуются десятки конкретных мероприятий с точно рассчитанными сроками и объемом сокращения вредных выбросов в атмосферу. Компания намерена использовать передовые технологии для снижения расхода газа и других энергоресурсов, оптимизации производственных процессов, повышения эффективности систем пароснабжения и теплоснабжения. На предприятиях будут обновлены агрегаты сталеплавильного производства, гидро- и термооборудование, электрогенерирующие и другие системы.  Кроме того, как следует из текста программы ТМК, на всех предприятиях группы производится замена ламп освещения на энергосберегающие и диодные экономичные источники света. Внедрение более эффективных и умных систем промышленного освещения позволит сократить косвенные выбросы парниковых газов.     Экологические инвестиции крупнейших промышленных компаний – не дань моде и не только добрая воля социально ответственных бизнесменов, стремящихся улучшить восприятие бренда в глазах общественности. Высокий ESG-рейтинг – это доступ к льготному зеленому финансированию, которое уже совершило революцию на зарубежных рынках капитала. В России, как отмечают в рейтинговом агентстве «Эксперт РА», целый ряд производственных компаний уже размещают на Московской бирже «ESG-облигации», а Минэкономразвития России разрабатывает рекомендации и критерии для отнесения тех или иных финансовых инструментов к зеленым.   На Западе крупнейшие инвестиционные фонды и институциональные игроки рынка капитала просто отказываются инвестировать в ценные бумаги компаний с низким ESG-рейтингом, а их опыт перенимают и крупнейшие российские банки: треть из них уже внедрили в кредитный процесс ESG-методологию оценки заемщиков, еще 20% планируют это сделать, отметили в агентстве.   «Российские крупные промышленные компании, как правило, находятся в стадии реализации крупных инвестпрограмм в обновление своих мощностей и имеют солидный долг. Возможность снизить стоимость привлекаемых средств и расширить круг инвесторов, обращающих внимание на ESG, – хорошее дополнение к тем экономическим эффектам, которые дает модернизация производства», – отмечает младший директор по корпоративным и суверенным рейтингам «Эксперт РА» Игорь Чернов.   Впрочем, кроме доступа к более дешевому финансированию, у предприятий есть и другие прагматические причины активно инвестировать в снижение углеродного следа и заботиться об охране окружающей среды. «Экологическая ответственность сегодня – это не только один из очевидных приоритетов нашей деятельности, благодаря которому мы создаем условия для комфортной жизни в регионах присутствия компании, но и своего рода пропуск в клуб ответственных участников бизнеса, открывающий доступ ко многим национальным и международным проектам», – сказал генеральный директор ТМК Игорь Корытько. По его словам, заявленные цифры и сроки инвестиций лишь «среднесрочная» программа компании. «В настоящий момент мы также готовим долгосрочную стратегию устойчивого развития компании с учетом принципов ESG, которая будет учитывать самые строгие требования и передовые подходы к защите окружающей среды», – рассказал топ-менеджер. "
2,https://www.vedomosti.ru/ecology/articles/2021/09/01/884776-esg-igri,02 сентября 2021,ESG нужны правила игры," Историю выделения ESG-идеологии из общей повестки «ответственного бизнеса» можно проследить при желании до середины прошлого века. Такие идеи занимали еще известного экономиста Милтона Фридмана в 1960–1970-х гг. Но как стройная система ESG оформилась уже в XXI в., и принимали ее с осторожностью.  Директор по устойчивому развитию UC Rusal Ирина Бахтина отмечает, что в самом начале, около 10 лет назад, требования стандартов ESG воспринимались бизнесом, и не только в России, как дополнительная нагрузка в сфере отчетности. «Сейчас, когда становятся очевидны тектонические сдвиги в мировой экономике, подстегиваемые климатическими изменениями, цифровизацией, приходом нового поколения управленцев, следование «компасу» становится все более ощутимой потребностью, фундаментом для трансформации не только отдельных передовых компаний, но и целых отраслей промышленности и секторов экономики», – считает она.  Старший вице-президент по ESG Сбербанка Татьяна Завьялова уточняет, что повестки корпоративной социальной ответственности и ESG имеют единые корни, которые вытекают из общего подхода устойчивого развития и целей устойчивого развития ООН. Во всех уголках мира это пример компромисса, достигнутого на международном уровне, когда все страны договорились о едином понимании целей и тех практических шагах, которые нужно пройти для более устойчивого будущего, отмечает она.    «Повестка в области ESG – это, скорее, бизнес-ориентированное прочтение концепции устойчивого развития. Поэтому на страновом уровне уместнее говорить об устойчивом развитии, на уровне бизнеса и инвестиционных решений – о ESG-подходе», – уточняет Завьялова.  Драйверы перехода  По оценке исполнительного директора Исследовательского центра энергетической политики и международных отношений (ИЦ ЭНЕРПО) Максима Титова, зеленая экономика России отстает на 5–7 лет. Но он отмечает, что в последнее время появились драйверы развития, которые сыграли ключевую роль в развороте компаний к повестке устойчивого развития и ESG.  Титов указывает на давление государственных регуляторов. Например, ЦБ выпустил рекомендации для компаний, которые ориентированы на лучшие международные ESG-рейтинги. Кроме того, компании торгуются на зарубежных биржах и имеют иностранных акционеров. В качестве примера эксперт приводит запрос от Церкви Англии в адрес одной из компаний с просьбой отчитаться о влиянии на климат. Это может вызывать улыбку, но несколько лет назад крупнейший американский инвестор BlackRock тоже заявил о зеленых принципах инвестирования (позднее фонд сообщил, что будет также выходить из инвестиций в компании без ESG-повестки). Аналогичные критерии приняли многие другие инвестиционные фонды.  Под давлением акционеров, инвесторов и банков ESG-повестка стала ключевым элементом корпоративной отчетности. В период пандемии эксперты отметили существенный скачок в качестве ESG-стратегий российских компаний. Появляются стратегии, которые связывают сокращение выбросов парниковых газов, количества отходов и внедрение энергоэффективности в общую климатическую цель – сокращение выбросов СО2.   О ESG-стратегии одним из первых в России объявил Сбербанк. В 2019 г. он начал выпускать соответствующую отчетность, при том что нефинансовую отчетность по стандартам GRI (Global Reporting Initiative) Сбер выпускает с 2010 г.  «Мы в Сбере выбрали для себя пять приоритетных ЦУР (целей устойчивого развития) – ликвидация нищеты, достойная работа и экономический рост, индустриализация, инновации и инфраструктура, уменьшение неравенства, борьба с изменением климата – и еще восемь дополнительных целей. Другие компании выбирают для себя направления, исходя из специфики деятельности, масштабов и географии присутствия и т. д.», – говорит Завьялова.  Представитель Сбербанка отмечает, что ESG пока нельзя назвать проработанным и доминирующим стандартом работы для российского бизнеса. Разные стороны – E, S и G – имеют разный срок зрелости.  В крупных российских компаниях компонент S (Social) в виде корпоративной социальной ответственности представлен достаточно сильно. В качестве примера можно привести моногорода, в которых содержание ряда социальных объектов, объектов инфраструктуры лежит на плечах градообразующих предприятий, что, к примеру, для западной бизнес-культуры совсем не свойственно.  Е (Environmental), наоборот, развит в меньшей степени и в основном представлен в части соблюдения нормативных требований в рамках законодательства для наиболее крупных и опасных для экологии производств. G (Governmental) – аналогично крупные предприятия следуют законам и нормам, внутренним требованиям, но для развития направления G необходим более широкий круг корпоративных обязательств. Нужно следование требованиям инвесторов и акционеров, что пока у нас не закреплено законодательно. Средний и малый бизнес с этой компонентой также работает пока еще очень фрагментарно.  Завьялова также отметила, что в России за последний год были разработаны такие основополагающие документы, проводящие ESG-повестку, как Энергетическая стратегия до 2030 г., таксономия зеленых проектов ВЭБ, рекомендации ЦБ по нефинансовой и климатической отчетности и другие документы.  Представитель Сбербанка добавила, что в Европе, где ESG-практики развиты на достаточно высоком уровне, вознаграждения банкиров привязывают к выполнению ESG-показателей. Это происходит по мере того, как европейские регуляторы включают ESG-риски в рекомендации по оплате труда, причем изменения должны вступить в силу уже к концу 2021 г.  Больше стандартов, поддержки и отчетов  Сейчас ESG-отчетность находится в стадии становления и стандартизации, считает представитель АФК «Система». Тенденция унификации просматривается в появлении рейтингов, которые основаны на единых стандартах, создается «нефинансовый аналог единым стандартам международной финансовой отчетности». Представитель АФК называет такие инструменты, как интегрированная отчетность и Sustainability Accounting Standards Board (SASB). Происходит сближение с финансовой отчетностью, поскольку становится все более очевидным влияние ESG-факторов и рисков на финансовые результаты и долгосрочную успешность компаний. АФК «Система» выпускает публичную нефинансовую отчетность на протяжении последних 10 лет. В 2020 г. в рамках актуализации стратегии корпорации впервые в инвестиционный процесс были интегрированы ESG-факторы.  Прозрачность АФК «Система» по вопросам ESG помогает привлекать дополнительное финансирование и повышать инвестиционную привлекательность бизнеса. Например, корпорация первой заключила со Сбербанком соглашение об открытии кредитной линии, предусматривающей возможность привязки процентной ставки к динамике показателей устойчивого развития.   Но Титов из ИЦ ЭНЕРПО считает, что ESG не сделают кредиты для компаний заметно дешевле, максимум им удастся сэкономить 2–3 п. п. Основным мотивом для внедрения ESG он называет риски продажи ценных бумаг корпораций держателями из-за отсутствия данных по нефинансовым рискам.  Похожие сложности отмечает и Бахтина из UC Rusal. Она считает, что разные бизнесы сталкиваются с разной степенью проработанности целей ESG. «Существенные темы» у каждого сектора свои. Сектор может быть практически безуглеродным (как атомная энергетика), но стоять перед острой потребностью обращения с производственными отходами, поясняет Бахтина. «Или он может успешно решать вопросы занятости и жизнеобеспечения локальных сообществ (как сетевая торговля), но подвергаться критике за стимулирование избыточной упаковки», – добавляет она.  Нормативно-правовая база ESG-практик пока неоднородна, говорит Бахтина. Чтобы судить о степени зрелости нормативно-правовой и методологической базы по переходу к экономике замкнутого цикла и безуглеродной экономике, нужно оценить количество новых стандартов и регламентов, уровень и качество дополнительных образовательных модулей в сфере наилучших доступных технологий и материаловедения для специалистов и управленцев нового поколения. Такие модули сегодня можно пересчитать по пальцам обеих рук, и пока дальше университетов они не распространяются. Так же можно судить по объемам государственной поддержки научных исследований и разработок, нацеленных на поиск новых технологических решений.   Первый заместитель председателя ВЭБ.РФ, член правления Алексей Мирошниченко отмечал, что сейчас в России разрабатывается карта мер поддержки механизмов финансирования проектов устойчивого развития. В разработке, по его словам, участвуют несколько министерств и ведомств, в том числе Минэкономразвития, Минпромторг, Минприроды, Банк России.  Бахтина отметила, что UC Rusal придерживается стандартов GRI и еще нескольких систем ESG – например, Инициативы по ответственному управлению производством и потреблением алюминия (Aluminium Stewardship Initiative, ASI), Гонконгской фондовой биржи.  Как отмечает Титов, в плане раскрытия информации российским компаниям есть куда расти. Инвесторов интересуют влияние деятельности компании на климат, сведения о травматизме на производстве, социальных рисках. А таких данных часто не могут получить даже контролирующие органы. "
